"(PDH-CSV 4.0) (India Standard Time)(-330)","\\Z_ANXX1_HPPAVX1\Memory\% Committed Bytes In Use","\\Z_ANXX1_HPPAVX1\Memory\Available MBytes","\\Z_ANXX1_HPPAVX1\Processor Information(_Total)\% Processor Time"
"02/25/2023 08:44:05.846","66.670749491702480327","822"," "
"02/25/2023 08:44:06.862","66.675570366595763971","805","6.1537722318944387823"
"02/25/2023 08:44:07.865","66.675601775449607089","786","4.7540593143737597259"
"02/25/2023 08:44:08.859","66.678506849957287272","777","7.1131817532841923324"
"02/25/2023 08:44:09.854","66.644525147658896458","776","4.5095328141966923852"
"02/25/2023 08:44:10.866","66.633532933572652723","776","5.1287412632142315161"
"02/25/2023 08:44:11.860","66.762942906181081071","769","5.8581274172176627246"
"02/25/2023 08:44:12.855","66.804006757867526289","765","8.6156488580704007063"
"02/25/2023 08:44:13.862","66.86093082345577443","746","5.900366931475842236"
"02/25/2023 08:44:14.858","66.921686443249157605","738","8.968087350456544371"
"02/25/2023 08:44:15.855","66.887453493403143057","724","4.7989147370322449149"
"02/25/2023 08:44:16.860","66.854398294085257248","702","8.7228974604116835678"
"02/25/2023 08:44:17.857","66.87336772840315291","702","7.8630247833828992299"
"02/25/2023 08:44:18.865","66.826383785071413968","708","2.6304060426879938284"
"02/25/2023 08:44:19.857","66.826713566395156363","707","5.7907265180164309015"
"02/25/2023 08:44:20.865","66.822143939049482242","707","4.1363202038432911323"
"02/25/2023 08:44:21.856","66.85486938032667581","699","6.1960382856881102143"
