"(PDH-CSV 4.0) (India Standard Time)(-330)","\\Z_ANXX1_HPPAVX1\Memory\% Committed Bytes In Use","\\Z_ANXX1_HPPAVX1\Memory\Available MBytes","\\Z_ANXX1_HPPAVX1\Processor Information(_Total)\% Processor Time"
"02/25/2023 11:20:17.685","84.878330883774523841","696"," "
"02/25/2023 11:20:18.685","85.211772421657045129","659","7.2962024860781848901"
"02/25/2023 11:20:19.685","85.257327366913045807","630","5.2240348998205838882"
"02/25/2023 11:20:20.680","85.031986605616282304","646","3.6872923916919320142"
"02/25/2023 11:20:21.693","84.942949513192971267","672","3.8729604082751389882"
"02/25/2023 11:20:22.691","84.458521819780244755","795","3.8214914154626966614"
"02/25/2023 11:20:23.692","84.444420361994872337","859","7.5030083610656772564"
"02/25/2023 11:20:24.687","84.415589292630457408","856","5.9528408996160298017"
"02/25/2023 11:20:25.686","84.457925098123482144","849","4.5424235753498187762"
"02/25/2023 11:20:26.681","84.459856591294496297","847","5.2520286912864477813"
"02/25/2023 11:20:27.693","84.430256086501813684","855","3.1225088205291573473"
"02/25/2023 11:20:28.688","84.427963403153228228","846","6.2996019581680222643"
"02/25/2023 11:20:29.686","84.428371694970024919","837","6.3795754567007367797"
"02/25/2023 11:20:30.700","84.791492248138283117","776","6.2472672490157199476"
"02/25/2023 11:20:31.697","84.710275354960529626","780","8.1465261055480802099"
"02/25/2023 11:20:32.684","84.705595808267958091","816","6.1159221393195517535"
"02/25/2023 11:20:33.696","84.637286929562066007","820","6.2248586929869453854"
"02/25/2023 11:20:34.695","84.61109401765537541","817","3.3367449802604753906"
"02/25/2023 11:20:35.692","84.631665187103592984","816","5.8969445543992744518"
"02/25/2023 11:20:36.690","84.641605309360102183","817","5.2299674259263628784"
"02/25/2023 11:20:37.688","84.674377852276521139","817","2.3025498236656227746"
"02/25/2023 11:20:38.687","84.593490740422510044","826","5.5194546210636241668"
"02/25/2023 11:20:39.682","84.62744103386705774","820","2.3518785382651619109"
"02/25/2023 11:20:40.692","84.62926260769117448","821","3.1983419876231100609"
"02/25/2023 11:20:41.687","84.654246383498943374","822","4.2534714112543614561"
"02/25/2023 11:20:42.687","84.634052073730643428","813","5.9793035378766905552"
"02/25/2023 11:20:43.683","84.667311418956913371","810","6.4761618509048490822"
"02/25/2023 11:20:44.695","84.610952689454649089","813","3.8204086404957426915"
"02/25/2023 11:20:45.682","84.632937140910172502","820","2.6867939513494532022"
"02/25/2023 11:20:46.684","84.61082705403930504","813","4.5108616102176650742"
"02/25/2023 11:20:47.694","84.687851202834366404","821","4.7525737622452046693"
"02/25/2023 11:20:48.689","84.670012370839259574","820","5.2834428252470422294"
"02/25/2023 11:20:49.688","84.663589760815625596","821","3.7132228779278464437"
"02/25/2023 11:20:50.686","84.683391494835575486","810","3.7786923610969025411"
"02/25/2023 11:20:51.688","84.910475319463401433","780","3.4187221034788106699"
"02/25/2023 11:20:52.686","84.686657759520841182","809","5.1786237489526047995"
"02/25/2023 11:20:53.684","84.702941958024851488","802","6.3622569992499151681"
"02/25/2023 11:20:54.698","84.634287628492870681","793","1.4257419019058192866"
"02/25/2023 11:20:55.695","84.651498306694321627","793","3.1228441568025955277"
"02/25/2023 11:20:56.682","84.446870043046502019","840","3.6826272004818472183"
"02/25/2023 11:20:57.685","84.685087433244348176","784","8.4980316936545179374"
"02/25/2023 11:20:58.688","84.740001495168542078","770","7.8178043970450801226"
"02/25/2023 11:20:59.688","84.725837219675497636","758","3.292519745882038773"
"02/25/2023 11:21:00.689","84.72381149994298255","761","1.9788309526411196337"
"02/25/2023 11:21:01.685","84.72002702409402275","761","3.7887329005800607362"
"02/25/2023 11:21:02.683","84.970116029719378048","738","3.249378951744041899"
"02/25/2023 11:21:03.694","84.76014868001456648","760","6.8710207882790026446"
"02/25/2023 11:21:04.693","84.579326464929465601","762","2.5086382145864782878"
"02/25/2023 11:21:05.691","84.651247059146697893","761","2.3092925435113431654"
"02/25/2023 11:21:06.686","84.826400453417193148","728","6.7722321687514135391"
"02/25/2023 11:21:07.685","85.11175880793290105","721","3.0387529707674998392"
"02/25/2023 11:21:08.684","84.851227184955774874","714","3.4431351058374581875"
"02/25/2023 11:21:09.684","84.815172661285657796","718","3.2824166561946088727"
"02/25/2023 11:21:10.684","84.846327799569422723","711","2.8283252481500875675"
"02/25/2023 11:21:11.699","84.852232198429348387","713","2.7399051600474733092"
"02/25/2023 11:21:12.700","84.780138843874482291","726","2.4670608949105665708"
"02/25/2023 11:21:13.685","84.749596143315926611","719","4.8545878711774737013"
"02/25/2023 11:21:14.679","85.073364499274958916","684","3.4083048883499222903"
"02/25/2023 11:21:15.693","84.809739348667150693","702","3.4534704198832644195"
"02/25/2023 11:21:16.693","84.762865347965359319","711","2.9600205753721575697"
"02/25/2023 11:21:17.687","85.013236986709117105","676","27.735203688696831392"
"02/25/2023 11:21:18.685","85.017900840616306368","680","7.5779327934297207037"
"02/25/2023 11:21:19.685","84.930229928561075781","689","4.802887809631961602"
"02/25/2023 11:21:20.684","85.034389185028700808","674","4.5962558591036479783"
"02/25/2023 11:21:21.683","84.997172626898901626","684","6.0429237158919679729"
"02/25/2023 11:21:22.701","85.270423834507909078","602","6.0260102069893513033"
"02/25/2023 11:21:23.679","85.287587411070148846","595","12.525694919566198848"
"02/25/2023 11:21:24.690","84.963018187545941373","657","5.5340490397389086041"
"02/25/2023 11:21:25.689","85.267314590808780395","619","3.7331434887385772647"
"02/25/2023 11:21:26.684","84.721707269717398958","722","7.4429575047511580266"
